DPTO_CCDGO,MPIO_CCDGO,CPOB_CNMBR,CPOB_NANO,CPOB_CSMBL,latitude,longitude,DPNP,DPNP_Dbl,Desplazado,Refugiados,IDPs,TotalImpct
5.000000,51.000000,ARBOLETES,2011.000000,5.000000,8.850601882,-76.42668342,5051.000000,5051.000000,21332.000000,9052.000000,4679.000000,35063.000000
5.000000,125.000000,CAICEDO,2011.000000,5.000000,6.40578759,-75.98415335,5125.000000,5125.000000,2780.000000,563.000000,216.000000,3559.000000
5.000000,142.000000,CARACOLÍ,2011.000000,5.000000,6.402509228,-74.7592025,5142.000000,5142.000000,793.000000,372.000000,169.000000,1334.000000
5.000000,145.000000,CARAMANTA,2011.000000,5.000000,5.549094786,-75.64533157,5145.000000,5145.000000,651.000000,179.000000,33.000000,863.000000
5.000000,212.000000,COPACABANA,2011.000000,5.000000,6.358227531,-75.50242268,5212.000000,5212.000000,758.000000,4423.000000,92.000000,5273.000000
5.000000,234.000000,DABEIBA,2011.000000,5.000000,7.000034026,-76.2629741,5234.000000,5234.000000,26207.000000,2338.000000,12674.000000,41219.000000
5.000000,266.000000,ENVIGADO,2011.000000,5.000000,6.166661797,-75.58319073,5266.000000,5266.000000,436.000000,4388.000000,60.000000,4884.000000
5.000000,282.000000,FREDONIA,2011.000000,5.000000,5.924840041,-75.67116614,5282.000000,5282.000000,665.000000,872.000000,37.000000,1574.000000
5.000000,284.000000,FRONTINO,2011.000000,5.000000,6.775585014,-76.1312234,5284.000000,5284.000000,8539.000000,3232.000000,7089.000000,18860.000000
5.000000,308.000000,GIRARDOTA,2011.000000,5.000000,6.379349929,-75.44369899,5308.000000,5308.000000,624.000000,1903.000000,406.000000,2933.000000
5.000000,313.000000,GRANADA,2011.000000,5.000000,6.141374332,-75.18797267,5313.000000,5313.000000,27257.000000,980.000000,8725.000000,36962.000000
5.000000,134.000000,CAMPAMENTO,2011.000000,5.000000,6.9799029,-75.2986605,5134.000000,5134.000000,3101.000000,345.000000,585.000000,4031.000000
5.000000,138.000000,CAÑASGORDAS,2011.000000,5.000000,6.749875686,-76.02456557,5138.000000,5138.000000,7168.000000,1451.000000,1032.000000,9651.000000
5.000000,150.000000,CAROLINA,2011.000000,5.000000,6.725994352,-75.28359994,5150.000000,5150.000000,266.000000,318.000000,116.000000,700.000000
5.000000,148.000000,EL CARMEN DE VIBORAL,2011.000000,5.000000,6.084971574,-75.33526901,5148.000000,5148.000000,4902.000000,2707.000000,4060.000000,11669.000000
5.000000,190.000000,CISNEROS,2011.000000,5.000000,6.538875199,-75.08623906,5190.000000,5190.000000,993.000000,1119.000000,13.000000,2125.000000
5.000000,306.000000,GIRALDO,2011.000000,5.000000,6.678034032,-75.9511794,5306.000000,5306.000000,610.000000,288.000000,117.000000,1015.000000
5.000000,310.000000,GÓMEZ PLATA,2011.000000,5.000000,6.684119448,-75.22175555,5310.000000,5310.000000,637.000000,395.000000,79.000000,1111.000000
5.000000,321.000000,GUATAPÉ,2011.000000,5.000000,6.232337372,-75.15562697,5321.000000,5321.000000,1081.000000,835.000000,552.000000,2468.000000
5.000000,360.000000,ITAGÜÍ,2011.000000,5.000000,6.169701645,-75.6134014,5360.000000,5360.000000,3594.000000,16505.000000,973.000000,21072.000000
5.000000,376.000000,LA CEJA,2011.000000,5.000000,6.029799486,-75.42797738,5376.000000,5376.000000,1234.000000,5589.000000,851.000000,7674.000000
5.000000,380.000000,LA ESTRELLA,2011.000000,5.000000,6.156625357,-75.63794303,5380.000000,5380.000000,540.000000,3038.000000,101.000000,3679.000000
5.000000,197.000000,COCORNÁ,2011.000000,5.000000,6.057888796,-75.18561261,5197.000000,5197.000000,22037.000000,2880.000000,11310.000000,36227.000000
5.000000,206.000000,CONCEPCIÓN,2011.000000,5.000000,6.394225426,-75.25755692,5206.000000,5206.000000,1985.000000,275.000000,1161.000000,3421.000000
5.000000,209.000000,CONCORDIA,2011.000000,5.000000,6.046032234,-75.90835351,5209.000000,5209.000000,3611.000000,1251.000000,358.000000,5220.000000
5.000000,237.000000,DONMATÍAS,2011.000000,5.000000,6.485885346,-75.39409516,5237.000000,5237.000000,416.000000,2203.000000,87.000000,2706.000000
5.000000,240.000000,EBÉJICO,2011.000000,5.000000,6.327259705,-75.76687773,5240.000000,5240.000000,909.000000,269.000000,12.000000,1190.000000
5.000000,390.000000,LA PINTADA,2011.000000,5.000000,5.739135854,-75.60621806,5390.000000,5390.000000,804.000000,440.000000,148.000000,1392.000000
5.000000,467.000000,MONTEBELLO,2011.000000,5.000000,5.946563659,-75.52375393,5467.000000,5467.000000,3286.000000,379.000000,1094.000000,4759.000000
5.000000,490.000000,NECOCLÍ,2011.000000,5.000000,8.426025281,-76.78762125,5490.000000,5490.000000,35693.000000,13008.000000,7778.000000,56479.000000
5.000000,315.000000,GUADALUPE,2011.000000,5.000000,6.814107781,-75.23960029,5315.000000,5315.000000,1147.000000,166.000000,155.000000,1468.000000
5.000000,318.000000,GUARNE,2011.000000,5.000000,6.277647709,-75.44133146,5318.000000,5318.000000,871.000000,2757.000000,334.000000,3962.000000
5.000000,347.000000,HELICONIA,2011.000000,5.000000,6.206032884,-75.73478599,5347.000000,5347.000000,1531.000000,376.000000,386.000000,2293.000000
5.000000,353.000000,HISPANIA,2011.000000,5.000000,5.799364153,-75.90723873,5353.000000,5353.000000,257.000000,239.000000,20.000000,516.000000
5.000000,361.000000,ITUANGO,2011.000000,5.000000,7.17162301,-75.76416656,5361.000000,5361.000000,21623.000000,673.000000,17910.000000,40206.000000
5.000000,364.000000,JARDÍN,2011.000000,5.000000,5.595985092,-75.81703013,5364.000000,5364.000000,1038.000000,551.000000,154.000000,1743.000000
5.000000,368.000000,JERICÓ,2011.000000,5.000000,5.792455576,-75.78462771,5368.000000,5368.000000,256.000000,345.000000,19.000000,620.000000
5.000000,658.000000,SAN JOSÉ DE LA MONTAÑA,2011.000000,5.000000,6.849741207,-75.68408219,5658.000000,5658.000000,797.000000,398.000000,73.000000,1268.000000
