type,properties/OD_Pair,properties/OrgLat,properties/OrgLon,properties/DestLat,properties/DestLon,properties/Count,properties/Origin,properties/Dest,properties/OrgMun,properties/DestMun,geometry/type,geometry/coordinates/0/0,geometry/coordinates/0/1,geometry/coordinates/1/0,geometry/coordinates/1/1
Feature,23807-5147,8.172247,-76.062317,7.755117,-76.654051,9814,23807,5147,TIERRALTA,CAREPA,LineString,-76.062316628,8.17224654791,-76.6540510757999,7.755117030749999
Feature,70823-70001,9.453703,-75.439516,9.300455,-75.395996,9752,70823,70001,TOLÚ VIEJO,SINCELEJO,LineString,-75.4395158704,9.45370314300999,-75.3959960643999,9.30045521524
Feature,17662-11001,5.413074,-74.99238,4.650528,-74.105972,9665,17662,11001,SAMANÁ,"BOGOTÁ, D.C.",LineString,-74.9923802604999,5.41307433341,-74.105971599,4.65052840264
Feature,13810-13430,8.556467,-74.264788,9.241367,-74.755668,9617,13810,13430,PUERTO RICO,MAGANGUÉ,LineString,-74.2647877150999,8.55646720521,-74.7556678557999,9.24136746688
Feature,5051-23001,8.850602,-76.426683,8.746423,-75.876635,9487,5051,23001,ARBOLETES,MONTERÍA,LineString,-76.4266834249999,8.85060188203999,-75.8766346495,8.74642258289999
Feature,27615-5480,7.433383,-77.11111,7.243963,-76.436705,9418,27615,5480,RIOSUCIO,MUTATÁ,LineString,-77.111109838,7.43338275367,-76.43670469549991,7.24396317282
Feature,18205-18001,1.033655,-75.920355,1.617334,-75.60689,9314,18205,18001,CURILLO,FLORENCIA,LineString,-75.9203547686999,1.03365529497,-75.6068902091,1.61733394988
Feature,5667-5001,6.29395,-75.02825,6.248941,-75.577056,9137,5667,5001,SAN RAFAEL,MEDELLÍN,LineString,-75.0282495203999,6.29394973639,-75.5770556256999,6.24894080931
Feature,44090-47001,11.271254,-73.307237,11.225703,-74.188397,9103,44090,47001,DIBULLA,SANTA MARTA,LineString,-73.3072366875999,11.2712541239,-74.1883970494999,11.2257031418
Feature,18753-41001,2.113418,-74.77196,2.935546,-75.277946,9054,18753,41001,SAN VICENTE DEL CAGUÁN,NEIVA,LineString,-74.7719596917,2.11341773815,-75.27794586940001,2.93554559249
Feature,47001-11001,11.225703,-74.188397,4.650528,-74.105972,8990,47001,11001,SANTA MARTA,"BOGOTÁ, D.C.",LineString,-74.1883970494999,11.2257031418,-74.105971599,4.65052840264
Feature,73217-11001,3.798477,-75.194142,4.650528,-74.105972,8846,73217,11001,COYAIMA,"BOGOTÁ, D.C.",LineString,-75.1941423011,3.79847693359,-74.105971599,4.65052840264
Feature,70713-13001,9.736821,-75.525562,10.398816,-75.501229,8783,70713,13001,SAN ONOFRE,CARTAGENA DE INDIAS,LineString,-75.5255622913,9.73682100005,-75.5012292161,10.3988164843999
Feature,20013-20001,10.040365,-73.237431,10.461893,-73.258517,8600,20013,20001,AGUSTÍN CODAZZI,VALLEDUPAR,LineString,-73.2374314486999,10.0403645547,-73.2585170443999,10.4618933985
Feature,18410-18001,1.48833,-75.436147,1.617334,-75.60689,8561,18410,18001,LA MONTAÑITA,FLORENCIA,LineString,-75.4361470336999,1.48833022085,-75.6068902091,1.61733394988
Feature,19418-76109,2.845917,-77.248277,3.875474,-77.011536,8498,19418,76109,LÓPEZ,BUENAVENTURA,LineString,-77.2482770971,2.84591662514,-77.0115358955,3.87547430591
Feature,50325-50001,2.892,-72.133249,4.122958,-73.626878,8475,50325,50001,MAPIRIPÁN,VILLAVICENCIO,LineString,-72.1332494943,2.89200026022,-73.626877897,4.12295758045
Feature,13160-68081,7.375411,-73.9169,7.067976,-73.846686,8447,13160,68081,CANTAGALLO,BARRANCABERMEJA,LineString,-73.9168996123,7.3754110648,-73.8466857443,7.06797552653
Feature,5893-68081,7.002807,-73.910354,7.067976,-73.846686,8424,5893,68081,CASABE,BARRANCABERMEJA,LineString,-73.9103536151999,7.00280678303,-73.8466857443,7.06797552653
Feature,18460-18001,1.290644,-75.50753,1.617334,-75.60689,8358,18460,18001,MILÁN,FLORENCIA,LineString,-75.5075303108999,1.29064424043,-75.6068902091,1.61733394988
Feature,27425-27001,5.994026,-76.780862,5.692349,-76.651125,8324,27425,27001,BETÉ,SAN FRANCISCO DE QUIBDO,LineString,-76.7808616147,5.99402612823,-76.6511246326,5.69234946496
